Date,Link,Message
2025-03-19 12:57:18,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7307830460473139201,"Great!
your posts ars inspiring 
Keep it up bro 🙌🏻"
2025-03-16 11:48:27,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7306485231950176257,"Syed Muhammad Umar
Thank you! That means a lot. You can definitely implement such projects too, just start small, stay consistent, and keep learning. Let me know if I can help in any way!"
2025-03-09 18:10:04,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7303236662149472256,"Love the insight, Nabeed 🎉"
2025-01-20 15:57:55,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7286838600661426177,Congrats Nabeed!
2025-01-19 08:16:44,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7284515980066639873,"This video feels like a growing graph, showing how you can improve your ML skills and turn everything into useful tools, from counting cars to measuring their speed. It has really inspired me."
2025-01-18 13:43:38,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7285620524909547520,"Well done Tamia 
keep doing best."
2025-01-18 13:40:49,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7284954761362063360,"Abdul Karim Bukhsh Ansari 
Yes I’ve tried it, and it looks great! It’s responsive and generates quizzes perfectly aligned with my topic. The difficulty level was on-spot. Overall, it’s impressive, keep up the amazing work!"
2025-01-18 08:07:57,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7284954761362063360,Awesome product
2025-01-18 08:07:21,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7285925774807748608,"Consistency is the key to success, and your mindset and problem-solving skills are truly admirable.✨"
2025-01-08 21:35:08,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7282420804686893056,Fatima Shahid ✨
2025-01-07 15:26:54,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7274827918441152512,Well done Nabeed
2025-01-07 15:26:31,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7279877728768606208,"Well done Sumbal!
Wishing you the best
Keep growing."
2025-01-06 20:17:05,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7281888902494253057,Muhammad Awwab Khan ❣️
2025-01-06 12:00:16,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7281888902494253057,Sibtain Ahmed  JazakAllah 🤝🏻
2024-12-06 16:49:13,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7270827563353030656,"Well done Fatima 
This small step will be a huge jump in the future 🙌🏻"
2024-12-06 09:23:25,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7269716450079121409,Well done Nabeed
2024-12-06 09:23:00,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7270505100547178496,Congratulations 🎉
2024-11-12 03:41:09,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7260027585600888832,Congrats Hafiz Muhammad Owais
2024-11-01 07:24:04,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7258010453988024321,"Thanks for sharing your experience.
Great advice 💯"
2024-10-31 18:32:44,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7257784359062056964,"Congrats Good Work Fatima
keep growing and keep shining 🌟"
2024-10-31 16:17:53,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7257426522666377217,Abdul Moazzim Ok Boss Ty I will go through it.
2024-10-31 10:04:06,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7257426522666377217,Faizan Sheikh It was my pleasure helping you guys.
2024-10-31 09:58:32,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7257426522666377217,Sibtain Ahmed Glad you liked it.
2024-10-31 09:53:10,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7257426522666377217,Fatima Shahid By caption specialist :).
2024-10-31 09:52:08,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7257426522666377217,Rida Noor Qasmi ✨🙌🏻
2024-10-31 09:51:56,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7257426522666377217,Rida Batool Thanks
2024-10-31 09:51:45,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7257426522666377217,Abdul Moazzim I have done the whatsapp thing by pywhatkit  and automation by pyautogui .
2024-10-22 10:33:47,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7254211786713784320,"Amazing, keep growing"
2024-10-20 16:56:12,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7248255725943058432,"I agree, 💯"
2024-10-19 05:55:20,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7245838652268810240,MashAllah Great
2024-10-18 04:45:15,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7248620933286912002,"Amazing 
its good to take part in these type of competitions next time I will like to collaborate with you."
2024-10-17 13:03:46,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7252023888614711297,Abdul Wahib ✨
2024-10-17 13:03:30,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7252023888614711297,Nabeed Fatima Shahid Thanks
2024-10-16 04:49:32,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7252023888614711297,"syed danish ahmed Thanks"
2024-10-16 04:49:21,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7252023888614711297,Rida Noor Qasmi 👏
2024-10-15 18:50:11,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7252023888614711297,"Thank you, brother!
Without your guidance, this would not have been achievable."
2024-10-15 18:45:02,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7248621512855846913,Looks so Amazing
2024-10-14 18:37:39,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7251128039282008065,"Well done, Rida! Keep shining bright!"
2024-10-14 18:36:26,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7251453193019133952,"Arham, your leadership was exceptional, and I genuinely appreciated the opportunity to work with you."
2024-10-14 18:34:07,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7250926643169443840,"Great job, Tamia! I really enjoyed working with you."
2024-10-12 15:48:13,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7250873071727722497,"fizzah abdullah , Thanks 🙌🏻"
2024-10-12 14:57:01,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7250873071727722497,Great time working on the Orrey web app with an awesome team for the NASA App Challenge!
2024-09-29 13:35:38,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7243513569651150848,MashAllah!! in a very short period of time you have covered 400 problems this shows your dedication and Hardwork Congrats bro 🎉
2024-09-29 13:30:05,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7246137402791010305,Well done Syed Sarim
2024-09-29 13:08:48,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7246063887467302912,Nice work
2024-09-29 05:58:20,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7246007295329902594,Congrats Shivam!
2024-09-29 05:55:56,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7245606761615806464,MashAllah Nabeed  that's so good
2024-09-29 05:53:14,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7245836687635881986,MashAllah go ahead brother 🔥
2024-09-27 19:52:44,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7244229265284599809,Congratulations!
2024-09-27 19:47:48,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7244772330080526336,Wishing you the best ✨
2024-09-27 19:44:37,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7244773062624104450,Congrats Rida!
2024-09-21 07:55:43,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7242903449661554689,Well done Abdul Wahib
2024-09-13 12:31:12,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7238204771017334784,So happy for you I saw this in library when you were making it responsive.✨
2024-09-13 04:17:15,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7239642266590425091,Congrats Ubaid!✨ Wishing you best of luck
2024-09-02 21:03:10,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7236428803537842177,Fabulous 🔥nice  theme
2024-09-02 21:00:50,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7236341159625682944,Keep going
2024-09-02 20:59:17,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7236065874523115521,"Aqiba Abdul Qadir 
JazakAllah ✨🙌🏻🪄"
2024-09-02 20:56:11,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7236065874523115521,Thanks Sibtain bhai I will continue it ✨
2024-09-02 09:18:41,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7236065874523115521,Akhyar Ahmed Turk 🙌🏻✨
2024-09-02 09:18:27,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7236065874523115521,Muhammad Hussnain Mansoor Ahmed  Thanks bro
2024-09-01 21:15:23,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7236065874523115521,Asra Siddiqui ✨
2024-09-01 21:15:04,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7236065874523115521,Muhammad Hamza 🙌🏻
2024-09-01 21:14:55,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7236065874523115521,Rida Noor Qasmi Thanks
2024-09-01 20:09:52,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7236040644337512448,😂
2024-09-01 18:36:04,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7236065874523115521,"Indeed!
Thanks Fatima Shahid"
2024-09-01 18:08:29,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7236065874523115521,Sumbal Zehra Thanks
2024-09-01 18:08:17,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7236065874523115521,Abdul Rafay Thanks See you on Monday Insha'Allah
2024-09-01 18:05:49,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7235305975635722240,Congrats Muhammad Hussnain
2024-09-01 18:02:13,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7233554977728712704,"Great work"
2024-09-01 17:48:52,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7235981784448958464,"Impressive work on UI, well done."
2024-08-31 15:57:32,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7235641854459867136,"Your website is as sweet as all your treats.
It looks fantastic."
2024-08-31 15:53:48,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7232015213720444928,"Congratulations!

Speak it loud is the real thing I tried it and to explain the problen to myself what I am going to do its really helpful to understand the problem and difficulties that you can face in your structure."
2024-08-31 15:44:42,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7233500029942939648,"Congratulations!
Useful tips Thanks"
2024-08-31 15:40:05,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7235653670183309312,That's something Delicious
2024-08-31 15:38:19,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7235664668801855488,"Great job Asra! I enjoyed working with you on this project. You taught me so much, and I truly appreciate all the knowledge and skills you shared. I’m looking forward to the opportunity to collaborate with you again in the future."
2024-08-30 22:50:06,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7235378037955981312,Congrats Muhammad Qambar!
2024-08-29 22:56:04,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7227775407477932032,Congrats Syed Muhammad Mubashir!
2024-08-28 17:06:19,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7234505505660928002,Cfbr
2024-08-28 15:43:34,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7234312682605084672,"Nice Work, Keep Shining 💥"
2024-08-27 17:31:43,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7233183607786254336,🔥 Amazing pacwomen
2024-08-27 17:28:30,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7233119048220241920,Love this🔥
2024-08-25 19:25:11,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7233546159682686976,Well done Hamza!❤️
2024-08-25 16:33:31,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7231770595250593793,The real Checkmate 🔥
2024-08-25 16:29:41,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7233166754816905216,Well-done
2024-08-25 16:22:58,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7230172005063434241,"Keep shining!
Loved the fact that you made this site from scratch."
2024-08-22 22:16:37,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7231671789150457857,"Awesome product 
Next semester me agg lgani ab ye use kr ke"
2024-08-22 22:13:36,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7232465491628310529,"Amazing Fatima!!!! 
Keep it up your work truly reflects your hard work ,consistency and passion."
2024-08-22 22:09:55,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7231361981163704321,"MashAllah!!
Your efforts are exceptional and clearly demonstrate why consistency is the key to success."
2024-08-18 18:09:30,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7230988567001391105,Well done!
2024-08-18 16:38:56,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7224484919794667521,"Comparing CIS to SE is like comparing apples to oranges,they each have their own unique value and purpose. Many suggested I choose SE initially, and now they are  advising a Change of Department(COD),these opinions are everywhere, and some even discouraged me from taking CS in Intermediate, claiming it would close off opportunities. My advice? Let your results speak for themselves🔥❤️"
2024-08-16 21:19:57,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7229155609311346688,Looks great!
2024-08-15 08:12:46,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7228836691908657152,Nice work and Poetry 🙌🏻
2024-08-11 10:48:23,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7227613629381038082,Makes sense!
2024-08-07 11:13:32,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7225771125631287296,Love it Incredible ❤️ Can't stop watching it looks Fantastic ✨
2024-08-06 12:39:53,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7226194851413839873,Impressive
2024-08-04 07:48:00,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7224819631482404864,Talha Hussain ✨❤️
2024-08-03 08:38:37,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7224819631482404864,Mutahir Ahmed Thanks  for appreciation i will take care of ur advice ✨
2024-08-02 18:38:20,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7225186561426878466,Congratulations! ✨
2024-08-02 14:24:00,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7224819631482404864,Abdul Rafay InshAllah ✨
2024-08-02 14:23:19,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7225133128426655744,Excellent work
2024-08-02 12:45:23,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7224819631482404864,Fatima Shahid ✨
2024-08-02 11:00:05,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7225077703341715456,Impressive
2024-08-02 06:38:41,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7224819631482404864,Nabeed Jamshed ❤️✨Thnks
2024-08-02 06:38:26,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7224819631482404864,Aatka . thanks
2024-08-01 19:00:39,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7224819631482404864,Muhammad Awwab Khan ❤️
2024-08-01 19:00:26,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7224819631482404864,Ayesha Anees ✨
2024-08-01 19:00:17,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7224819631482404864,Taha Siraj Thanks
2024-08-01 18:59:49,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7224819631482404864,Muhammad Hamza ❤️Thanks Buddy
2024-08-01 18:59:26,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7224819631482404864,"Asra Siddiqui \"Thanks! I enjoy working with you as well."
2024-08-01 17:18:24,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7224819631482404864,"Website Link: 
https://furni5.onrender.com
(Try it on desktop)"
2024-08-01 17:18:02,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7224819631482404864,Aqiba Abdul Qadir Thanks
2024-08-01 17:16:43,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7224784372984381443,"Excellent work"
2024-08-01 17:04:19,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7224819631482404864,Rida Noor Qasmi when Rajpal yadav say: acting hy acting 😉
2024-08-01 17:01:53,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7224819015112642561,"You have always been a cooperative group member. 

Here's to many more groups together!!!!!"
2024-08-01 13:34:27,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7224307481013882882,"Motivation ✨"
2024-07-28 16:24:30,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7223119391037489152,Well done!
2024-07-23 12:33:11,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7218306950046900224,Excellent work
2024-07-05 11:14:57,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7211293258319040512,MashAllah
2024-07-05 11:14:15,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7214947288656334848,Looks great!
2024-06-04 20:32:40,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7200062264589135875,Impressive
2024-06-02 18:14:48,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7201796602661945344,Amna Sabahat Thanks
2024-06-02 06:55:30,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7202895814245945345,Amazing!
2024-06-02 06:54:24,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7201796602661945344,Nabeed Jamshed :)
2024-06-02 06:54:15,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7201796602661945344,Mutahir Ahmed Thanks
2024-06-01 09:44:05,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7201796602661945344,Aatka . Thanks
2024-05-30 13:27:22,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7201796602661945344,Thanks  Rafay!!
2024-05-30 13:26:52,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7201796602661945344,Aqiba Abdul Qadir JazakAllah
2024-05-30 06:26:16,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7201796602661945344,Rida Noor Qasmi Thanks
2024-05-30 06:25:58,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7201796602661945344,Muhammad Rehan Thanks broo
2024-05-30 06:25:36,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7201796602661945344,Muhammad Shaheer Thanks
2024-05-18 09:59:28,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7196267787579731968,Amazing
2024-05-18 04:17:57,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7193219436969922560,Amazing!
2024-05-18 04:17:10,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7196628206047653888,Good job
2024-05-17 06:50:51,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7196962812621934595,Well done!
2024-05-17 06:49:46,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7189640511442309120,Congratulations!
2024-05-08 00:33:00,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7192853570382163971,Great
2024-05-03 03:47:00,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7190371649274187776,Good job
2024-05-01 16:09:38,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7191446943389155328,Best of luck!
2024-04-28 07:35:04,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7189879620601589760,Well done! Nice
2024-04-27 08:20:05,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7188187706231848960,Amazing!
2024-04-27 08:06:12,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7189323569229672448,"Abdullah Wasi Yes, I was  present in DevDay and saw how they managed to get their bot working when others couldn't."
2024-04-27 07:44:17,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7189251908077842433,Congrats!
2024-04-27 07:42:40,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7189323569229672448,Impressive
2024-04-18 12:24:11,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7185007838061084672,Amazing!
2024-04-17 04:19:39,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7184465137179713536,Congratulations Aima!
2024-04-05 13:37:22,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7181761064139710464,Amazing!
2024-04-02 00:06:16,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7180384918806355968,Amazing!
2024-03-31 22:39:25,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7178089880915189764,Amazing!
2024-03-31 21:04:04,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7180307910634225664,Great 👍🏻
2024-03-31 09:31:57,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7180123869184225280,"Appreciate your watchful eye✨
Your caption is really catchy! I'm impressed."
2024-03-29 20:44:07,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7179498976197390337,Good Keep it up!
2024-03-27 08:08:49,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7177826000867667968,Nice interface
2024-03-27 08:06:16,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7178146894185959424,Amazing!
2024-03-27 08:01:40,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7178659679017861120,"Great, Fatima keep it up"
2024-03-23 00:26:22,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7176277414245785600,Amazing!
2024-03-21 00:20:57,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7175915954311184384,"Congratulations 
Consistency:The backbone of achievement 🙌🏻"
2024-03-18 12:41:29,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7174847942464258048,Abdul Rafay🤣 Sarcastic one
2024-03-16 14:19:13,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7174612164316426240,😮 Amazing
